name,slug,status,region,group,tenant
ZAJNB01,zajnb01,active,Johannesburg,Branch,Consulting
NZAKL01,nzakl01,active,Auckland,Branch,Sales
MYKUL01,mykul01,active,Kuala Lumpur,Branch,Marketing
AUSYD01,ausyd01,active,Sydney,Branch,Consulting
AUMEL01,aumel01,active,Melbourne,Branch,Consulting
CAMON01,camon01,active,Montreal,Branch,Consulting
USDEN01,usden01,active,Denver,Branch,Consulting
USLAX01,uslax01,active,Los Angeles,Branch,Sales
UKLON01,uklon01,active,London,Corporate,Finance
USCHG01,uschg01,active,Chicago,Corporate,IT
